name1	name2	f_total
4d2D	14p2P	0.2655979760720558
4d2D	12f2F	0.02922717161421378
6s2S	14p2P	0.007829996214513416
4d2D	13p2P	0.00637507226989259
4d2D	11f2F	0.04257493303771815
6s2S	13p2P	0.012224730408395081
3d2D	4f2F	0.06809600240821333
4d2D	12p2P	0.055989390632634015
6s2S	12p2P	0.10104712366341
4d2D	10f2F	0.0825024503607329
16d2D	4f2F	0.01732235855296388
15d2D	4f2F	0.1330946908541846
4d2D	11p2P	0.08048930349272933
14d2D	4f2F	0.6775506474216907
6s2S	11p2P	0.048949893577444205
4d2D	9f2F	0.01219557308777644
13d2D	4f2F	0.042088236757520464
12d2D	4f2F	0.02323117959064531
4d2D	10p2P	1.0222492612628749
6s2S	10p2P	0.6768309434674082
11d2D	4f2F	0.4105618191228772
4d2D	8f2F	0.0195075268461098
10d2D	4f2F	0.6471654508529606
16d2D	6p2P	0.005428534336044471
4d2D	9p2P	0.022528847925871967
9g2G	4f2F	0.10379124747887773
15d2D	6p2P	0.13244678887791
6s2S	9p2P	0.14583739128020418
5d2D	5p2P	0.05408059155636384
9d2D	4f2F	0.02088102204765532
14d2D	6p2P	0.02655283492621415
4d2D	7f2F	0.6836870001701292
13d2D	6p2P	0.005075774991012661
14s2S	6p2P	0.08363317010527051
12d2D	6p2P	0.157528978598068
8g2G	4f2F	0.022300421324388576
13s2S	6p2P	0.013616680964756607
8d2D	4f2F	1.4968396613704622
11d2D	6p2P	1.085778261322258
12s2S	6p2P	0.20405711956567696
10d2D	6p2P	2.184011125812627
4d2D	8p2P	0.04767745537146992
6s2S	8p2P	0.1201539822848535
7g2G	4f2F	0.018516875943086254
11s2S	6p2P	0.23140810130205802
9d2D	6p2P	1.726838761432947
4d2D	6f2F	0.02290848777831021
7d2D	4f2F	0.6350245974979084
5d2D	14f2F	0.009391102380102004
10s2S	6p2P	0.10699871424010907
5d2D	13f2F	0.2364253177486857
8d2D	6p2P	0.16963106311497778
5d2D	14p2P	1.8451587700497603
5d2D	12f2F	1.2180485221076718
7s2S	14p2P	0.18004396101972275
5d2D	13p2P	0.05924124877352504
16d2D	5f2F	2.0112360917904843
5d2D	11f2F	0.1256614924047615
15d2D	5f2F	2.158543135321818
7s2S	13p2P	1.4662200411054196
6g2G	4f2F	0.32110663147746416
5g2G	14f2F	0.09677473436647711
14d2D	5f2F	0.1583937968113953
5d2D	12p2P	1.4671692144232875
5g2G	13f2F	0.300081969651473
13d2D	5f2F	0.0015309620741965873
5d2D	10f2F	0.0016475815894437037
7s2S	12p2P	0.002063224023665026
4d2D	7p2P	0.0029293265915791853
9s2S	6p2P	0.003504707720402102
5g2G	12f2F	0.003853426516766812
6s2S	7p2P	0.005009008307068735
12d2D	5f2F	0.0056141565193742055
7d2D	6p2P	0.007029527384583572
6d2D	4f2F	0.004248599835203229
5d2D	11p2P	0.00873785566842118
16d2D	7p2P	0.013905999622523795
5g2G	11f2F	0.01699340704061579
5d2D	9f2F	0.026923086099158534
7s2S	11p2P	0.038113654930658554
11d2D	5f2F	0.0006003860721600019
15d2D	7p2P	0.001037198772307173
