   774.2608 -2.635 19.00   21536.988  1.5 3d 2D        34448.980  2.5 14f 2F                           
   779.5321 -3.377 19.00   21534.680  2.5 3d 2D        34359.360  2.5 13f 2F                           
   779.5321 -2.076 19.00   21534.680  2.5 3d 2D        34359.360  3.5 13f 2F                           
   779.6724 -2.231 19.00   21536.988  1.5 3d 2D        34359.360  2.5 13f 2F                           
   784.2002 -3.697 19.00   21534.680  2.5 3d 2D        34283.018  1.5 14p 2P                           
   784.3422 -4.651 19.00   21536.988  1.5 3d 2D        34283.018  1.5 14p 2P                           
   784.3644 -3.952 19.00   21536.988  1.5 3d 2D        34282.657  0.5 14p 2P                           
   786.4611 -1.821 19.00   21534.680  2.5 3d 2D        34246.370  3.5 12f 2F                           
   786.4611 -3.122 19.00   21534.680  2.5 3d 2D        34246.370  2.5 12f 2F                           
   786.5176 -3.286 19.00   21026.551  0.5 5s 2S        33737.328  1.5 11p 2P                           
   786.5689 -3.587 19.00   21026.551  0.5 5s 2S        33736.498  0.5 11p 2P                           
   786.6039 -1.976 19.00   21536.988  1.5 3d 2D        34246.370  2.5 12f 2F                           
   792.5641 -3.576 19.00   21534.680  2.5 3d 2D        34148.486  1.5 13p 2P                           
   792.7092 -4.530 19.00   21536.988  1.5 3d 2D        34148.486  1.5 13p 2P                           
   792.7379 -3.831 19.00   21536.988  1.5 3d 2D        34148.028  0.5 13p 2P                           
   795.5363 -1.612 19.00   21534.680  2.5 3d 2D        34101.360  3.5 11f 2F                           
   795.5363 -2.913 19.00   21534.680  2.5 3d 2D        34101.360  2.5 11f 2F                           
   795.6824 -1.766 19.00   21536.988  1.5 3d 2D        34101.360  2.5 11f 2F                           
   803.7580 -3.406 19.00   21534.680  2.5 3d 2D        33972.815  1.5 12p 2P                           
   803.9072 -4.360 19.00   21536.988  1.5 3d 2D        33972.815  1.5 12p 2P                           
   803.9466 -3.662 19.00   21536.988  1.5 3d 2D        33972.206  0.5 12p 2P                           
